"X_index","X_uuid","reported_date"
81,"d1952051-90cd-48d5-908e-9aa678a0d637",2020-02-13
82,"a115cb0c-f974-44ea-beff-b9f8b8c4f373",2020-02-13
83,"2aa3ed38-bc59-4dfb-b84c-36fc1ac4a126",2020-02-13
84,"8c419573-a01b-423a-ae29-e420569e76c6",2020-02-13
85,"66afddaf-5a56-45cd-aa03-d76fbdc14e14",2020-02-16
86,"53165237-981b-4685-9486-9505bca94823",2020-02-16
87,"00b854ee-8017-4522-a3e2-309856ec4f65",2020-02-16
88,"f70f346a-b0ea-41f7-9f09-7f008386e6f0",2020-02-16
89,"4345b640-5cd5-486a-92d1-cd3265f9060e",2020-02-16
90,"04f34db9-09d1-41c0-b79f-967a87ba8d6e",2020-02-16
91,"a75c2f85-3ae7-44db-800d-97dd3509a764",2020-02-16
92,"3885c677-cc9b-402b-ac93-c36a39c9b62a",2020-02-16
93,"c2b05684-2954-4e46-aa3e-792800537c45",2020-02-16
94,"146183c9-6345-4e80-8a9c-107c1e4e20cf",2020-02-16
95,"d0e9cb28-7fdd-4b1d-b99b-0a533ee54235",2020-02-16
96,"d35a6673-c09f-4c8b-b41e-e01f52deb0bf",2020-02-16
97,"f6f5c859-efe6-4614-b5e5-dc8ab9aabdd3",2020-02-16
98,"90cb5a21-560c-44c7-b469-dfbe8bfef9f0",2020-02-16
99,"9478926f-bc03-478e-8681-4c8484504e0a",2020-02-16
100,"41fd7afb-3460-4f71-a707-8d6393a4d6b5",2020-02-16
101,"568950ad-bbbd-4ec8-86e0-5c154e414d14",2020-02-16
102,"a76c5bc7-0b9d-48c6-9269-e7c519f4d06d",2020-02-16
103,"a24fde04-d4a2-4695-8f37-c9c5bb31db8f",2020-02-16
104,"be03a88e-2549-42ed-b103-5f9a61a14b88",2020-02-16
105,"eaf94087-76d7-42f0-9b07-714a71887222",2020-02-16
106,"d1ca4ccf-2145-4f17-a6e1-de31d8ce5f36",2020-02-16
107,"6688c25e-7b5f-4bd1-8d14-75ddb21116d6",2020-02-16
108,"898a6553-7098-4351-a89c-bcd86b8424c5",2020-02-16
109,"e304e332-e4b9-4102-9200-012abc5561d7",2020-02-16
110,"7c5a9df4-76c7-44a3-b722-1e037614867d",2020-02-16
111,"801386fa-cc6a-4a2c-991e-feb69a766a9f",2020-02-16
112,"4abed2c8-c600-4898-8617-9b7733b54756",2020-02-16
113,"6da0d037-95d9-425b-aad6-b131c6b167dd",2020-02-16
114,"9a83ba8b-c283-4146-8d00-4e405a867e3a",2020-02-16
115,"b20b4dea-3ed2-48c3-8892-0e58dd38c575",2020-02-16
